Category,Subcategory,Local term,English translation,Simple Category
Slurs,Anti-black,黒人,negro,Racism
Slurs,Anti-black,黒人,nig,Racism
Slurs,Anti-black,黒人,nigger,Racism
Slurs,Anti-black,黒人,niggie,Racism
Slurs,Anti-black,黒人,nxgger,Racism
Slurs,Anti-Asian,中国人,chink,Racism
Slurs,Anti-Asian,中国人,chinkie,Racism
Slurs,Anti-Asian,中国人,chinks,Racism
Slurs,Anti-Asian,日本人,jap,Racism
Slurs,Anti-Gypsy Roma Traveller,エジプト人,gipp,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,ペテン師,gyp,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,ロマ民族,gypo,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,エジプト人,gyppo,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,ロマ民族,gyppos,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,廃馬処理業者,knacker,Anti-GRT
Slurs,Anti-Gypsy Roma Traveller,放浪人,pikey,Anti-GRT
Slurs,Antisemitic,ユダヤ人,kike,Antisemitism
Slurs,Islamophobic,ターバンを被っている人の蔑称,raghead,Islamophobia
Slurs,Islamophobic,アラブ人・インド人,towelhead,Islamophobia
Slurs,Islamophobic,パキスタン人,paki,Islamophobia
Special_terms,Football-specific,ユダヤ人,yid (slurs against Tottenham supporters),Special Terms
Special_terms,Football-specific,青年男娼,rent boys (slur against Chelsea fans),Special Terms
Violence,Violent threats,火傷,burn,Violence
Violence,Violent threats,火傷,burned,Violence
Violence,Violent threats,刺される,stab,Violence
Violence,Violent threats,撃たれる,shoot,Violence
Violence,Violent threats,撃たれた,shot,Violence
Violence,Death threats,死亡,dead,Violence
Violence,Death threats,死亡,die,Violence
Violence,Death threats,死にかけ,dying,Violence
Violence,Death threats,首吊り,hang,Violence
Violence,Death threats,首吊り,hanged,Violence
Violence,Death threats,首吊り,hanging,Violence
Violence,Death threats,殺す,kill,Violence
Violence,Death threats,殺された,killed,Violence
Violence,Death threats,殺している,killing,Violence
Violence,Rape,強姦レイプ,bum raped,Violence
Violence,Rape,レイプ,raped,Violence
Violence,Rape,レイプ反対,saynotorapists,Violence
Violence,Weaponry,ロープ,rope,Violence
Violence,Weaponry,ナイフ,knife,Violence
Slurs,Anti-Asian,旭日旗,The Rising Sun flag,Racism
