Category,Subcategory,Local term,English translation,Simple category
Homophobia,Anti-gay,göt,ass,Homophobia
Homophobia,Anti-gay,götçü,asshole,Homophobia
Homophobia,Anti-lesbian,lezbiyen,lesbian,Homophobia
Homophobia,Anti-lesbian,lez,lesbo,Homophobia
Homophobia,Anti-lesbian,sevici,lover,Homophobia
Homophobia,Anti-lesbian,erkek fatma,tomboy,Homophobia
Homophobia,Anti-lesbian,erkeksi,masculine,Homophobia
Homophobia,Anti-lesbian,lezbiyenler,lesbians,Homophobia
Homophobia,Anti-lesbian,libo?,lesbo,Homophobia
Homophobia,Anti-trans,trans,trance,Transphobia
Homophobia,Anti-trans,trans kad?n,trans woman,Transphobia
Homophobia,Anti-trans,transseksüel,transgender,Transphobia
Homophobia,Anti-trans,cinsiyet de?i?tirmi?,transgender,Transphobia
Intracommunity slurs,Racially-motivated,kara,black,Racism
Intracommunity slurs,Racially-motivated,sar?,yellow,Racism
Intracommunity slurs,Racially-motivated,havuç,carrot (redhead),Racism
Possible slurs,Racial,maymun,monkey,Racism
Possible slurs,Racial,e?ek,donkey,Racism
Possible slurs,Racial,e??ek,donkey,Racism
Possible slurs,Racial,e?ek siken,donkey fucker,Racism
Possible slurs,Antisemitic,siyonist,zionist,Antisemitism
Possible slurs,Antisemitic,siyonizm,zonism,Antisemitism
Possible slurs,Antisemitic,yahudi,jew,Antisemitism
Possible slurs,Animal-based,maymun,monkey,Racism
Possible slurs,Animal-based,dana,calf,General abuse
Possible slurs,Animal-based,e?ek,donkey,General abuse
Possible slurs,Animal-based,e??ek,donkey,General abuse
Possible slurs,Animal-based,e??o?lue??ek,donkey,General abuse
Possible slurs,Animal-based,manda,mandate,General abuse
Possible slurs,Animal-based,kat?r,mule,General abuse
Possible slurs,Animal-based,?ebelek,baboon,Racism
Possible slurs,Animal-based,gebe?,gazob (a kind of sheep),General abuse
Possible slurs,Animal-based,inek,cow,General abuse
Possible slurs,Animal-based,çakal,jackal,General abuse
Possible slurs,Animal-based,tilki,fox,General abuse
Racial term,Anti-arabism,arap,sand nigger,Racism
Racial term,Anti-arabism,bedevi,bedouin,Racism
Racial term,Anti-arabism,çöl faresi,meerkat,General abuse
Racial term,Anti-kurdish,kürt,kurd,Racism
Racial term,Anti-kurdish,amk kürdü,fucking kurd,Racism
Racial term,Islamophobic,müslüman,muslim,Islamophobia
Racial term,Islamophobic,müslim,muslim,Islamophobia
Racial term,Islamophobic,islam,Islam,Islamophobia
Racial term,Islamophobic,din,religion,Islamophobia
Racial term,Islamophobic,dinci,religious,Islamophobia
Racial term,Antisemitic,yahudi,jew,Antisemitism
Racial term,Antisemitic,yahudi tohumu,jewish breed,Antisemitism
Racial term,Midde Eastern,afgan,Afghan,Xenophobia
Racial term,Midde Eastern,paki,Paki,Xenophobia
Racial term,Midde Eastern,pakistanl?,Pakistani,Xenophobia
Racial term,Midde Eastern,kürt,Kurd,Xenophobia
Racial term,Midde Eastern,orta do?ulu,middle eastern,Xenophobia
Racial term,Midde Eastern,suri,Syrian (like Paki),Xenophobia
Racial term,Midde Eastern,suriyeli,Syrian,Xenophobia
Racial term,Midde Eastern,suriye,Syria,Xenophobia
Racial term,Midde Eastern,afganistan,Afghanistan,Xenophobia
Racial term,Midde Eastern,?rak,Iraq,Xenophobia
Racial term,Midde Eastern,iran,Iranian,Xenophobia
Racial term,Midde Eastern,arap,arabic,Xenophobia
Racial term,Midde Eastern,arabistan,Arabia,Xenophobia
Racial term,Midde Eastern,medeniyet yoksunu,uncivilized,General abuse
Sectarianism,Religious denominations,alevi,flame,Sectarianism
Sectarianism,Religious denominations,sünni,sunni,Sectarianism
Sectarianism,Religious denominations,bekta?i,gooseberry,Sectarianism
Sexist,Anti-woman,orospu,bitch,Sexism
Sexist,Anti-woman,ka?ar,bitch,Sexism
Sexist,Anti-woman,yollu,loose woman,Sexism
Sexist,Anti-woman,vurdurmak,get fucked,Sexism
Sexist,Anti-woman,orospu çocu?u,son of a bitch,Sexism
Sexist,Anti-woman,sikik,fucked,Sexism
Sexist,Anti-woman,sikilmi?,fucked,Sexism
Sexist,Female anatomy,am,pussy,Sexual
Sexist,Female anatomy,amc?k,cunt,Sexual
Sexist,Female anatomy,am biti,lice,Sexual
